product,role,repo_url,base_branch
cert-manager Operator for Red Hat OpenShift,upstream operand fork,https://github.com/openshift/jetstack-cert-manager.git,main
cert-manager Operator for Red Hat OpenShift,product downstream operator,https://github.com/openshift/cert-manager-operator.git,main
cert-manager Operator for Red Hat OpenShift,istio integration,https://github.com/openshift/cert-manager-istio-csr.git,main
External Secrets Operator for Red Hat OpenShift,upstream fork,https://github.com/openshift/external-secrets.git,main
External Secrets Operator for Red Hat OpenShift,product downstream operator,https://github.com/openshift/external-secrets-operator.git,main
ZTWIM Operator for Red Hat OpenShift,product downstream operator,https://github.com/openshift/zero-trust-workload-identity-manager.git,main
ZTWIM Operator for Red Hat OpenShift,upstream fork,https://github.com/openshift/spiffe-spire.git,main
Must Gather Operator for Red Hat OpenShift,product downstream operator,https://github.com/openshift/must-gather-operator.git,main
